Attribute,Mandatory/Conditional mandatory/Optional,Description
Group Name - ``grpN``,Mandatory,"* User defined name of the group.
* Range for ``N`` is 0-99.

 **Example**: ``grp0``, ``grp1``, and ``grp2``."
Location of the node - ``location_id``,Mandatory,"* Scalable unit and rack number range.
* Range for ``<n>`` is 0-99.
* **Format**: ``SU-<n>.RACK-<n>``

 **Example**: ``SU-1.RACK-1``

.. note:: This attribute is case-sensitive. Ensure to use uppercase characters only."
"Parent of the node- ""parent''",Conditional Mandatory,"* The list of service tags that are associated with active service node(s).
* This field will be mandatory for group of nodes which is associated with ``slurm_node_x86_64`` and  ``slurm_node_aarch64`` functional_groups.
* This should be the service tag of the parent node.

 **Example**: ``ABCD12``"
