OSS Title,License Name/Version Number,Description, OSS Version
Slurm Workload manager,GPL-2.0-only,HPC Workload Manager,25.05.2
MariaDB,GPL-2.0-only,Open source relational database used by Slurm,10.11.11
Munge,GPL-2.0-only,MUNGE (MUNGE Uid 'N' Gid Emporium) is an authentication service for creating and validating user credentials.,0.5.15
mysql,MIT,MySQL is an open-source relational database management system.,9.3
python3-PyMySQL,MIT,Pure-Python MySQL client library,1.1.2
Kubernetes Core Components,Apache-2.0,"Includes essential Kubernetes control plane and node components such as kubectl, kubelet, kubeadm, kube-apiserver, kube-controller-manager, kube-scheduler, kube-proxy, and cri-o for cluster management and container runtime.",1.34.1
calico,Apache-2.0,Cloud native networking and network,3.30.3
cri,Apache-2.0,CLI and validation tools for Kubelet Container Runtime Interface (CRI),1.31.1
etcd,Apache-2.0,Relational database used by Kubernetes,3.6.4
cni,Apache-2.0,Networking for Linux containers,1.4.1
runc,Apache-2.0,CLI tool for spawning and running containers according to the OCI specification,1.2.6
Kubernetes pip module,Apache-2.0,Official Python client library for kubernetes,33.1.0
pause,Apache-2.0,kubernetes pause container,3.10.1
coreDNS,Apache-2.0,DNS server that chains plugins,1.21.1
cluster propotional autoscaler,Apache-2.0,Kubernetes Cluster Proportional Autoscaler Container,1.8.8
k8s-dns-node-cache,Apache-2.0,Kubernetes DNS service,1.25.0
flannel,Apache-2.0,"flannel is a network fabric for containers, designed for Kubernetes",0.22.0
flannel-cni-plugin,Apache-2.0,"This plugin is designed to work in conjunction with flannel, a network fabric for containers.",1.1.2
multus,Apache-2.0,A CNI meta-plugin for multi-homed pods in Kubernetes,v4.2.2
nerdctl,Apache-2.0,"contaiNERD CTL - Docker-compatible CLI for containerd, with support for Compose, Rootless, eStargz, OCIcrypt, IPFS etc",2.0.5
containerd,Apache-2.0,An open and reliable container runtime,2.0.5
metallb,Apache-2.0,A network load-balancer implementation for Kubernetes using standard routing protocols,v0.15.2
mpi-operator,Apache-2.0,"Kubernetes Operator for MPI-based applications (distributed training, HPC, etc.)",0.6.0
kube-vip,Apache-2.0,Kubernetes Control Plane Virtual IP and Load-Balancer,0.8.9
community.grafana,GPL-3.0-only,Ansible Community General Collection,2.1.0
community.mysql,GPL-3.0-only,MySQL is an open-source relational database management system.,3.10.3
kubernetes.core,GPL-3.0-only,"The collection includes a variety of Ansible content to help automate the management of applications in Kubernetes and OpenShift clusters, as well as the provisioning and maintenance of clusters themselves.",5.2.0
community.kubernetes,GPL-3.0-or-later,Kubernetes collection for ansible,2.0.1
rocm,MIT,AMD ROCm™ Software,6.3.1
Beegfs,GPL-2.0-only,"BeeGFS is a parallel file system, developed and optimized for high-performance computing.",7.4.5
csi powerscale driver,Apache-2.0,CSI Driver for Dell PowerScale,2.15.0
CUDA,NVIDIA Software License,"The NVIDIA® CUDA® Toolkit provides a development environment for creating high-performance, GPU-accelerated applications.",13.0.2
Intel Gaudi3 driver,MIT,Intel Gaudi3 drivers,1.19.2
FreeIPA,GPL- GPL-3.0-only,"FreeIPA, an integrated security information management solution",4.12.2
NVIDIA device plugin,Apache-2.0,NVIDIA device plugin for Kubernetes,0.14.4
rocm device plugin,Apache-2.0,Kubernetes (k8s) device plugin to enable registration of AMD GPU to a container cluster,0.19.0
xilinx-device-plugin,Apache-2.0,The AMD-Xilinx device plugin for Kubernetes is a Daemonset deployed on the Kubernetes(k8s) cluster,1.2.0
OFED,NVIDIA Software License,OFED driver,24.10-1.1.4.0
OpenMPI,GPL-2.0-only,Open MPI main development repository,5.0.8
NVidia container runtime,Apache-2.0,Nvidia container runtime library,3.4.2
helm,Apache-2.0,Kubernetes Package Manager,3.19.0
spark-operator,Apache-2.0,Unified analytics engine for large-scale data processing,v1beta2-1.3.8-3.1.1
prometheus,Apache-2.0,It is a monitoring and alerting tool,v3.4.1
postgresSQL,PostgreSQL,"PostgreSQL, also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and SQL compliance.",16.8
idrac-telemetry-reference tools,Apache-2.0,Reference toolset for PowerEdge telemetry metric collection and integration with analytics and visualization solutions.,commit ID: 97ace09
389-ds,GPL-3.0-or-later,Light weight directory access protocol,2.6.1
Beegfs,GPL-2.0-only,"BeeGFS is a parallel file system, developed and optimized for high-performance computing.",7.4.5
ansible pylibssh,LGPL-2.1-only,Python bindings specific to Ansible use case for libssh,1.2.3
python3-netaddr,"BSD‑2-Clause, BSD‑3-Clause",A network address manipulation library for Python,0.8.0
gcc-c++,GPL-3.0-only,"This package adds C++ support to the GNU Compiler Collection. It includes support for most of the current C++ specification, including templates and exception handling.",11.5.0
openmpi,BSD-3-Clause-Clear,Open MPI main development repository,5.0.8
nfs-subdir-external-provisioner,Apache-2.0,Dynamic sub-dir volume provisioner on a remote NFS server.,4.0.18
NCCL,Apache-2.0,Optimized primitives for collective multi-GPU communication,2.25.1
RCCL,Apache-2.0,ROCm Communication Collectives Library (RCCL),2.21.5
PyMySQL,MIT,MySQL client library for Python,1.1.2
Pulp container,GPL-2.0-only,Pulp 3 pulpcore package,3.80.0
pulp-cli,GPL-2.0-only,Command line interface to talk to pulpcore's REST API.,0.33.0
pulp-deb,GPL-2.0-only,pulp-deb plugin for the Pulp Project,3.5.2
pulp-cli-deb,GPL-2.0-only,Command line interface to talk to pulpcore's REST API. (Deb plugin commands),0.3.0
pulp-glue,GPL-2.0-only,Version agnostic glue library to talk to pulpcore's REST API.,0.33.0
pulp-glue-deb,GPL-2.0-only,Version agnostic glue library to talk to pulpcore's REST API. (deb plugin),0.3.0
pulpcore,GPL-2.0-only,Pulp Django Application and Related Modules,3.80.1
containers.podman,GPL-3.0-or-later,"Repository for Ansible content that can include playbooks, roles, modules, and plugins for use with the Podman tool",1.16.2
initscripts,GPL-2.0-only,Basic support for legacy System V init scripts,10.11.8
ochami,Apache-2.0,Open Composable Heterogeneous Adaptable Management Infrastructure,0.5.3
magellan,MIT,Redfish-based BMC discovery tool written in Go,0.3.1
SMD,MIT,"The State Management Database (SMD) is a robust service designed for monitoring, tracking, and managing hardware components in high-performance computing (HPC) environments.",2.18.0
BSS,MIT,"The Boot Script Service (BSS) provides boot arguments (initrd, kernel arguments, etc.) and Level 2 boot services for static images in HPE Shasta systems.",1.32.1
Image builder,MIT,A wrapper around various buildah commands that makes creating images in layers easier.,0.1.2
cloud-init,MIT,Micro-service for serving cloud-init payloads,24.4
coresmd,MIT,A CoreDHCP plugin with a pull-through cache that communicates with SMD,0.3.1
Step-CA,Apache-2.0,"A zero trust swiss army knife for working with X509, OAuth, JWT, OATH OTP, etc.",0.28.6
haproxy,GPL-2.0-only,Reverse proxy for allowing all microservices to be accessible through a single http(s) host,3.3-dev2
Ory Hydra,Apache-2.0,"The only web-scale, fully customizable OpenID Certified™ OpenID Connect and OAuth2 Provider in the world. Become an OpenID Connect and OAuth2 Provider over night. Written in Go, cloud native, headless, API-first. Available as a service on Ory Network and for self-hosters. Relied upon by OpenAI and others for web-scale security.",2.3.0
Fedora Core,MIT,"Fedora CoreOS is a container-focused Linux distribution developed by the Fedora Project and sponsored by Red Hat. It provides an immutable, minimal, and secure operating system optimized for running container workloads at scale.",40
golang.org/x/crypto,BSD-3-Clause,This repository holds supplementary Go cryptography libraries,0.43.0
golang.org/x/net,BSD-3-Clause,Unknown,0.38.0
golang.org/x/sync,BSD-3-Clause,Unknown,0.12.0
golang.org/x/sys,BSD-3-Clause,supplemental Go packages for low level interactions with the operating system,0.31.0
golang.org/x/text,BSD-3-Clause,mirror Go text processing support,0.23.0
kubernetes,Apache-2.0,Python client for talk to a kubernetes cluster,32.0.1
openldap-clients,OLDAP-2.8,"OpenLDAP client utilities provide command-line tools for interacting with LDAP directories, enabling operations such as searching, adding, modifying, and deleting directory entries.",0:2.6.9-1.fc40
Munge-level,GPL 3.0,MUNGE (MUNGE Uid 'N' Gid Emporium) is an authentication service for creating and validating user credentials.,0.5.15
whereabouts,Apache-2.0,A CNI IPAM plugin that assigns IP addresses cluster-wide,v0.9.2
CSI provisioner,Apache-2.0 license,Sidecar container that watches Kubernetes PersistentVolumeClaim objects and triggers CreateVolume/DeleteVolume against a CSI endpoint,5.3.0
CSI snapshotter,Apache-2.0 license,Sidecar container that watches Kubernetes Snapshot CRD objects and triggers CreateSnapshot/DeleteSnapshot against a CSI endpoint.,8.3.0
CSI resizer,Apache-2.0 license,Sidecar container that watches Kubernetes PersistentVolumeClaims objects and triggers controller side expansion operation against a CSI endpoint,1.14.0
CSI node driver registrar,Apache-2.0 license,Sidecar container that registers a CSI driver with the kubelet using the kubelet plugin registration mechanism.,2.14.0
CSI external health monitor controller,Apache-2.0 license,This repo contains sidecar controller and agent for volume health monitoring.,0.15.0
CSI replicator,Apache-2.0 license,Dell Container Storage Modules (CSM) for Replication aims at extending native Kubernetes functionality to support Disaster Recovery workflows by utilizing storage array based replication.,1.13.0
csm metadata retriever,Apache-2.0 license,Dell csi-metadata-retriever controller to retrieve various metadata from the cluster using kubeapi.,1.12.0
snapshot controller,Apache-2.0 license,"The snapshot-controller in Kubernetes manages the creation and management of volume snapshots, enabling point-in-time copies of your data for CSI drivers",8.3.0
openmpi,BSD-3-Clause-Clear,Open MPI main development repository,5.0.8
helm,Apache-2.0,Kubernetes Package Manager,3.19.0
nfs-subdir-external-provisioner image,Apache License 2.0,A dynamic storage provisioner for Kubernetes that uses an existing NFS server to create subdirectories for Persistent Volumes automatically.,4.0.2
minio,GNU Affero General Public License v3.0 (AGPLv3),MinIO is a high-performance object storage system compatible with the Amazon S3 API.,latest
registry,Apache-2.0 license,Docker Registry is the official image registry service for storing and distributing Docker images.,latest
LDMS,GPL-2.0,"OVIS/LDMS High Performance Computing monitoring, analysis, and visualization project.",4.5.1
NERSC-LDMS,BSD-3-Clause,"Helm Chart, Image Build, and Dashboards for the Light Weight Distributed Metric Service",commit 1f46921
Strimzi-Kafka,Apache-2.0 license,Apache Kafka® running on Kubernetes,0.48.0-kafka-4.1.0
Strimzi Kafka Operator,Apache-2.0 license,Deploy and manage Apache Kafka clusters on Kubernetes/OpenShift,0.48.0
Strimzi Kafka Operator Helm Chart,Apache-2.0 license,Deploy Strimzi Kafka Operator on Kubernetes using Helm 3,0.48.1
Strimzi Kafka Bridge,Apache-2.0 license,"Provides an HTTP-based API for Apache Kafka, enabling REST clients to produce and consume messages without using Kafka protocol directly.",0.33.1
VictoriaMetrics,Apache-2.0 license,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",1.128.0
Dell helm-charts,Apache-2.0 license,The source for Dell Helm charts,csi-isilon-2.15.0
CSI-attacher,Apache-2.0 license,Sidecar container that watches Kubernetes VolumeAttachment objects and triggers ControllerPublish/Unpublish against a CSI endpoint,4.9.0
Busybox base image.,Apache-2.0 license,BusyBox combines tiny versions of many common UNIX utilities into a single small executable,1.36
Multus CNI image,Apache-2.0 license,Multus CNI enables attaching multiple network interfaces to pods in Kubernetes.,snapshot-thick
Whereabout image,Apache-2.0 license,An IP Address Management (IPAM) CNI plugin that assigns IP addresses cluster-wide.,latest
podman,Apache License 2.0,Podman: A tool for managing OCI containers and pods.,5.4.0
vmagent,Apache License 2.0,"A lightweight agent for collecting metrics from various sources, filtering, relabeling, and sending them to VictoriaMetrics or other storage systems via Prometheus/VictoriaMetrics remote_write protocols.",1.128.0
vmstorage,Apache License 2.0,"vmstorage is the storage node for VictoriaMetrics cluster mode, responsible for storing time-series data.",1.128.0
vminsert,Apache License 2.0,vminsert handles ingestion of metrics into VictoriaMetrics cluster mode.,1.128.0
vmselect,Apache License 2.0,vmselect handles query execution in VictoriaMetrics cluster mode.,1.128.0
LDMS Aggregator image,Apache License 2.0 and GPL-2.0-or-later,Ubuntu-based container with LDMS tools for telemetry and metric collection in HPC/AI environments.,1.0.0
Omnia Auth,Apache License 2.0,"The omnia_auth image is part of Dell’s Omnia toolkit and is responsible for authentication services within HPC, AI, and data analytics clusters. It primarily manages centralized user authentication and integrates with OpenLDAP to provide secure access control across the cluster.",1.0.0
Omnia Core,Apache License 2.0,"The omnia_core image is the foundational container for Dell’s Omnia solution, which is an open-source toolkit designed to deploy and manage high-performance computing (HPC), AI, and data analytics clusters. This container runs on the Omnia Infrastructure Manager (OIM) and acts as the central service for cluster orchestration.",1.0.0
idrac-telemetry-receiver,Apache License 2.0,The idrac_telemetry_receiver image is part of Dell’s Telemetry Reference Tools for PowerEdge servers. It is designed to collect and stream telemetry data from Dell iDRAC (Integrated Dell Remote Access Controller) interfaces to external analytics platforms for monitoring and visualization.,1.0.0
victoriapump,Apache License 2.0,"The victoriapump image is part of Dell’s Omnia telemetry pipeline and is designed to push telemetry metrics into VictoriaMetrics, a high-performance time-series database optimized for large-scale monitoring and observability.",1.0.0
Kafkapump,Apache License 2.0,"The kafkapump image is part of Dell’s Omnia telemetry pipeline and is designed to consume telemetry data from Kafka topics and forward it to downstream systems such as time-series databases (e.g., VictoriaMetrics) or analytics platforms.",1.0.0
OpenLDAP,GPL-3.0-only,"OpenLDAP is a free, open-source implementation of the Lightweight Directory Access Protocol (LDAP) developed by the OpenLDAP Project",2.6.9
libssh-config,LGPL-2.1-OR-LATER,Unknown,0.10.6
libssh,LGPL-2.1-OR-LATER,Unknown,0.10.6
perl-Text-Tabs+Wrap,TTWL,Unknown,2024.001
pause,Apache-2.0,kubernetes pause container,3.10.1
nerdctl,Apache-2.0,"contaiNERD CTL - Docker-compatible CLI for containerd, with support for Compose, Rootless, eStargz, OCIcrypt, IPFS etc",2.0.5
containerd,Apache-2.0,An open and reliable container runtime,2.0.5
NVidia container runtime,Apache-2.0,Nvidia container runtime library,3.4.2
prometheus,Apache-2.0,It is a monitoring and alerting tool,v3.4.1
Pulp container,GPL-2.0-only,Pulp 3 pulpcore package,3.80.0
containers.podman,GPL-3.0-or-later,"Repository for Ansible content that can include playbooks, roles, modules, and plugins for use with the Podman tool",1.16.2
BSS,MIT,"The Boot Script Service (BSS) provides boot arguments (initrd, kernel arguments, etc.) and Level 2 boot services for static images in HPE Shasta systems.",1.32.1
Image builder,MIT,A wrapper around various buildah commands that makes creating images in layers easier.,0.1.2
nfs-subdir-external-provisioner image,Apache License 2.0,A dynamic storage provisioner for Kubernetes that uses an existing NFS server to create subdirectories for Persistent Volumes automatically.,4.0.2
minio,GNU Affero General Public License v3.0 (AGPLv3),MinIO is a high-performance object storage system compatible with the Amazon S3 API.,latest
registry,Apache-2.0 license,Docker Registry is the official image registry service for storing and distributing Docker images.,latest
NERSC-LDMS,BSD-3-Clause,"Helm Chart, Image Build, and Dashboards for the Light Weight Distributed Metric Service",commit 1f46921
Busybox base image.,Apache-2.0 license,BusyBox combines tiny versions of many common UNIX utilities into a single small executable,1.36
Multus CNI image,Apache-2.0 license,Multus CNI enables attaching multiple network interfaces to pods in Kubernetes.,snapshot-thick
Whereabout image,Apache-2.0 license,An IP Address Management (IPAM) CNI plugin that assigns IP addresses cluster-wide.,latest
vmagent,Apache License 2.0,"A lightweight agent for collecting metrics from various sources, filtering, relabeling, and sending them to VictoriaMetrics or other storage systems via Prometheus/VictoriaMetrics remote_write protocols.",1.128.0
vmstorage,Apache License 2.0,"vmstorage is the storage node for VictoriaMetrics cluster mode, responsible for storing time-series data.",1.128.0
vminsert,Apache License 2.0,vminsert handles ingestion of metrics into VictoriaMetrics cluster mode.,1.128.0
vmselect,Apache License 2.0,vmselect handles query execution in VictoriaMetrics cluster mode.,1.128.0
python3.12,Python Software Foundation License (PSF),"Python 3.12 is the core interpreter and standard library for the Python programming language, enabling execution of Python applications and scripts on the system.",3.12
alpine/kubectl,Apache-2.0,Lightweight Alpine-based container image providing kubectl CLI for Kubernetes cluster management.,1.34.1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
